LUCENE_NoStopNoStem

Query
Parallel algorithms

Top 100 Results (19 millisecs)


DocID: CACM-2973



DocID: CACM-3075



DocID: CACM-2266



DocID: CACM-1601



DocID: CACM-2557



DocID: CACM-1468



DocID: CACM-3156



DocID: CACM-0950



DocID: CACM-2570



DocID: CACM-2433



DocID: CACM-2289



DocID: CACM-1957



DocID: CACM-2838



DocID: CACM-2692



DocID: CACM-2114



DocID: CACM-1302



DocID: CACM-0392



DocID: CACM-0141



DocID: CACM-2685



DocID: CACM-2723



DocID: CACM-2896



DocID: CACM-1828



DocID: CACM-1367



DocID: CACM-1262



DocID: CACM-2182



DocID: CACM-2700



DocID: CACM-1158



DocID: CACM-2714



DocID: CACM-2785



DocID: CACM-0371



DocID: CACM-2952



DocID: CACM-1795



DocID: CACM-2895



DocID: CACM-1811



DocID: CACM-1660



DocID: CACM-1952



DocID: CACM-2007



DocID: CACM-2342



DocID: CACM-2401



DocID: CACM-3059



DocID: CACM-2865



DocID: CACM-3073



DocID: CACM-2080



DocID: CACM-1796



DocID: CACM-0270



DocID: CACM-1342



DocID: CACM-2325



DocID: CACM-2226



DocID: CACM-0804



DocID: CACM-1569



DocID: CACM-3044



DocID: CACM-2884



DocID: CACM-2851



DocID: CACM-2902



DocID: CACM-2950



DocID: CACM-3166



DocID: CACM-1551



DocID: CACM-2830



DocID: CACM-3061



DocID: CACM-1953



DocID: CACM-1374



DocID: CACM-1851



DocID: CACM-2725



DocID: CACM-2505



DocID: CACM-2417



DocID: CACM-2863



DocID: CACM-1658



DocID: CACM-2740



DocID: CACM-1380



DocID: CACM-2727



DocID: CACM-1008



DocID: CACM-2175



DocID: CACM-1846



DocID: CACM-2195



DocID: CACM-1747



DocID: CACM-1873



DocID: CACM-1924



DocID: CACM-2283



DocID: CACM-2903



DocID: CACM-3006



DocID: CACM-2273



DocID: CACM-2146



DocID: CACM-1392



DocID: CACM-2679



DocID: CACM-2490



DocID: CACM-2514



DocID: CACM-1200



DocID: CACM-1471



DocID: CACM-3175



DocID: CACM-1554



DocID: CACM-1536



DocID: CACM-1960



DocID: CACM-1341



DocID: CACM-1603



DocID: CACM-2426



DocID: CACM-2627



DocID: CACM-2236



DocID: CACM-2942



DocID: CACM-2647



DocID: CACM-2362


