LUCENE_NoStopNoStem

Query
Computer performance evaluation techniques using pattern recognition
and clustering.

     LA    70803

Top 100 Results (8 millisecs)


DocID: CACM-0462



DocID: CACM-2641



DocID: CACM-2215



DocID: CACM-1726



DocID: CACM-2402



DocID: CACM-2894



DocID: CACM-2318



DocID: CACM-2019



DocID: CACM-2811



DocID: CACM-1653



DocID: CACM-2980



DocID: CACM-2991



DocID: CACM-2370



DocID: CACM-2984



DocID: CACM-2232



DocID: CACM-2319



DocID: CACM-2054



DocID: CACM-3070



DocID: CACM-3089



DocID: CACM-0633



DocID: CACM-2829



DocID: CACM-2310



DocID: CACM-2849



DocID: CACM-2231



DocID: CACM-2494



DocID: CACM-2542



DocID: CACM-0204



DocID: CACM-1805



DocID: CACM-1931



DocID: CACM-3091



DocID: CACM-2437



DocID: CACM-2451



DocID: CACM-2902



DocID: CACM-0851



DocID: CACM-1908



DocID: CACM-2634



DocID: CACM-3119



DocID: CACM-2344



DocID: CACM-2990



DocID: CACM-2268



DocID: CACM-2113



DocID: CACM-1030



DocID: CACM-0893



DocID: CACM-2720



DocID: CACM-1870



DocID: CACM-2883



DocID: CACM-2812



DocID: CACM-3078



DocID: CACM-2561



DocID: CACM-1915



DocID: CACM-3135



DocID: CACM-3132



DocID: CACM-2746



DocID: CACM-3149



DocID: CACM-2107



DocID: CACM-2910



DocID: CACM-2788



DocID: CACM-1534



DocID: CACM-2400



DocID: CACM-2882



DocID: CACM-2892



DocID: CACM-1050



DocID: CACM-1427



DocID: CACM-3048



DocID: CACM-1526



DocID: CACM-0961



DocID: CACM-3072



DocID: CACM-2716



DocID: CACM-2711



DocID: CACM-1827



DocID: CACM-2859



DocID: CACM-2452



DocID: CACM-2401



DocID: CACM-1935



DocID: CACM-1170



DocID: CACM-1543



DocID: CACM-1542



DocID: CACM-2903



DocID: CACM-3013



DocID: CACM-1785



DocID: CACM-2871



DocID: CACM-3136



DocID: CACM-2951



DocID: CACM-2145



DocID: CACM-1468



DocID: CACM-1265



DocID: CACM-0860



DocID: CACM-2862



DocID: CACM-2287



DocID: CACM-1792



DocID: CACM-1938



DocID: CACM-2741



DocID: CACM-2035



DocID: CACM-2317



DocID: CACM-1973



DocID: CACM-2798



DocID: CACM-2698



DocID: CACM-2251



DocID: CACM-2017



DocID: CACM-2571


